,type,feature_extractor,epoch,dataset,split,metric,value
336,trained,unfrozen,4999,Kangaroo-v5,train,loss,0.17945039499762475
337,trained,unfrozen,4999,Kangaroo-v5,train,accuracy,0
338,trained,unfrozen,4999,Kangaroo-v5,train,precision,0
339,trained,unfrozen,4999,Kangaroo-v5,train,recall,0
340,trained,unfrozen,4999,Kangaroo-v5,train,f1score,0
341,trained,unfrozen,4999,Kangaroo-v5,train,specificity,0
342,trained,unfrozen,4999,Kangaroo-v5,train,auc,0
343,trained,unfrozen,4999,Kangaroo-v5,train,iou,0
344,trained,unfrozen,4999,Kangaroo-v5,validation,loss,0.17942289705388248
345,trained,unfrozen,4999,Kangaroo-v5,validation,accuracy,0
346,trained,unfrozen,4999,Kangaroo-v5,validation,precision,0
347,trained,unfrozen,4999,Kangaroo-v5,validation,recall,0
348,trained,unfrozen,4999,Kangaroo-v5,validation,f1score,0
349,trained,unfrozen,4999,Kangaroo-v5,validation,specificity,0
350,trained,unfrozen,4999,Kangaroo-v5,validation,auc,0
351,trained,unfrozen,4999,Kangaroo-v5,validation,iou,0
352,trained,unfrozen,4999,Phoenix-v5,train,loss,0.34154744575852936
353,trained,unfrozen,4999,Phoenix-v5,train,accuracy,0
354,trained,unfrozen,4999,Phoenix-v5,train,precision,0
355,trained,unfrozen,4999,Phoenix-v5,train,recall,0
356,trained,unfrozen,4999,Phoenix-v5,train,f1score,0
357,trained,unfrozen,4999,Phoenix-v5,train,specificity,0
358,trained,unfrozen,4999,Phoenix-v5,train,auc,0
359,trained,unfrozen,4999,Phoenix-v5,train,iou,0
360,trained,unfrozen,4999,Phoenix-v5,validation,loss,0.34143807739019394
361,trained,unfrozen,4999,Phoenix-v5,validation,accuracy,0
362,trained,unfrozen,4999,Phoenix-v5,validation,precision,0
363,trained,unfrozen,4999,Phoenix-v5,validation,recall,0
364,trained,unfrozen,4999,Phoenix-v5,validation,f1score,0
365,trained,unfrozen,4999,Phoenix-v5,validation,specificity,0
366,trained,unfrozen,4999,Phoenix-v5,validation,auc,0
367,trained,unfrozen,4999,Phoenix-v5,validation,iou,0
368,trained,unfrozen,4999,Seaquest-v5,train,loss,0.11725180419768103
369,trained,unfrozen,4999,Seaquest-v5,train,accuracy,0
370,trained,unfrozen,4999,Seaquest-v5,train,precision,0
371,trained,unfrozen,4999,Seaquest-v5,train,recall,0
372,trained,unfrozen,4999,Seaquest-v5,train,f1score,0
373,trained,unfrozen,4999,Seaquest-v5,train,specificity,0
374,trained,unfrozen,4999,Seaquest-v5,train,auc,0
375,trained,unfrozen,4999,Seaquest-v5,train,iou,0
376,trained,unfrozen,4999,Seaquest-v5,validation,loss,0.1172714012209326
377,trained,unfrozen,4999,Seaquest-v5,validation,accuracy,0
378,trained,unfrozen,4999,Seaquest-v5,validation,precision,0
379,trained,unfrozen,4999,Seaquest-v5,validation,recall,0
380,trained,unfrozen,4999,Seaquest-v5,validation,f1score,0
381,trained,unfrozen,4999,Seaquest-v5,validation,specificity,0
382,trained,unfrozen,4999,Seaquest-v5,validation,auc,0
383,trained,unfrozen,4999,Seaquest-v5,validation,iou,0
384,trained,unfrozen,5999,DemonAttack-v5,train,loss,0.22820401404585158
385,trained,unfrozen,5999,DemonAttack-v5,train,accuracy,0
386,trained,unfrozen,5999,DemonAttack-v5,train,precision,0
387,trained,unfrozen,5999,DemonAttack-v5,train,recall,0
388,trained,unfrozen,5999,DemonAttack-v5,train,f1score,0
389,trained,unfrozen,5999,DemonAttack-v5,train,specificity,0
390,trained,unfrozen,5999,DemonAttack-v5,train,auc,0
391,trained,unfrozen,5999,DemonAttack-v5,train,iou,0
392,trained,unfrozen,5999,DemonAttack-v5,validation,loss,0.22819002623289403
393,trained,unfrozen,5999,DemonAttack-v5,validation,accuracy,0
394,trained,unfrozen,5999,DemonAttack-v5,validation,precision,0
395,trained,unfrozen,5999,DemonAttack-v5,validation,recall,0
396,trained,unfrozen,5999,DemonAttack-v5,validation,f1score,0
397,trained,unfrozen,5999,DemonAttack-v5,validation,specificity,0
398,trained,unfrozen,5999,DemonAttack-v5,validation,auc,0
399,trained,unfrozen,5999,DemonAttack-v5,validation,iou,0
400,trained,unfrozen,5999,Kangaroo-v5,train,loss,0.17118137646211337
