,type,feature_extractor,epoch,dataset,split,metric,value
264,trained,unfrozen,5999,DemonAttack-v5,validation,loss,0.06509825492828665
265,trained,unfrozen,5999,DemonAttack-v5,validation,accuracy,0
266,trained,unfrozen,5999,DemonAttack-v5,validation,precision,0
267,trained,unfrozen,5999,DemonAttack-v5,validation,recall,0
268,trained,unfrozen,5999,DemonAttack-v5,validation,f1score,0
269,trained,unfrozen,5999,DemonAttack-v5,validation,specificity,0
270,trained,unfrozen,5999,DemonAttack-v5,validation,auc,0
271,trained,unfrozen,5999,DemonAttack-v5,validation,iou,0
272,trained,unfrozen,5999,Qbert-v5,train,loss,0.22748459487232922
273,trained,unfrozen,5999,Qbert-v5,train,accuracy,0
274,trained,unfrozen,5999,Qbert-v5,train,precision,0
275,trained,unfrozen,5999,Qbert-v5,train,recall,0
276,trained,unfrozen,5999,Qbert-v5,train,f1score,0
277,trained,unfrozen,5999,Qbert-v5,train,specificity,0
278,trained,unfrozen,5999,Qbert-v5,train,auc,0
279,trained,unfrozen,5999,Qbert-v5,train,iou,0
280,trained,unfrozen,5999,Qbert-v5,validation,loss,0.22719301673082204
281,trained,unfrozen,5999,Qbert-v5,validation,accuracy,0
282,trained,unfrozen,5999,Qbert-v5,validation,precision,0
283,trained,unfrozen,5999,Qbert-v5,validation,recall,0
284,trained,unfrozen,5999,Qbert-v5,validation,f1score,0
285,trained,unfrozen,5999,Qbert-v5,validation,specificity,0
286,trained,unfrozen,5999,Qbert-v5,validation,auc,0
287,trained,unfrozen,5999,Qbert-v5,validation,iou,0
288,trained,unfrozen,6999,Phoenix-v5,train,loss,0.10814177797069191
289,trained,unfrozen,6999,Phoenix-v5,train,accuracy,0
290,trained,unfrozen,6999,Phoenix-v5,train,precision,0
291,trained,unfrozen,6999,Phoenix-v5,train,recall,0
292,trained,unfrozen,6999,Phoenix-v5,train,f1score,0
293,trained,unfrozen,6999,Phoenix-v5,train,specificity,0
294,trained,unfrozen,6999,Phoenix-v5,train,auc,0
295,trained,unfrozen,6999,Phoenix-v5,train,iou,0
296,trained,unfrozen,6999,Phoenix-v5,validation,loss,0.10830924729816616
297,trained,unfrozen,6999,Phoenix-v5,validation,accuracy,0
298,trained,unfrozen,6999,Phoenix-v5,validation,precision,0
299,trained,unfrozen,6999,Phoenix-v5,validation,recall,0
300,trained,unfrozen,6999,Phoenix-v5,validation,f1score,0
301,trained,unfrozen,6999,Phoenix-v5,validation,specificity,0
302,trained,unfrozen,6999,Phoenix-v5,validation,auc,0
303,trained,unfrozen,6999,Phoenix-v5,validation,iou,0
304,trained,unfrozen,6999,DemonAttack-v5,train,loss,0.06315704056667903
305,trained,unfrozen,6999,DemonAttack-v5,train,accuracy,0
306,trained,unfrozen,6999,DemonAttack-v5,train,precision,0
307,trained,unfrozen,6999,DemonAttack-v5,train,recall,0
308,trained,unfrozen,6999,DemonAttack-v5,train,f1score,0
309,trained,unfrozen,6999,DemonAttack-v5,train,specificity,0
310,trained,unfrozen,6999,DemonAttack-v5,train,auc,0
311,trained,unfrozen,6999,DemonAttack-v5,train,iou,0
312,trained,unfrozen,6999,DemonAttack-v5,validation,loss,0.06301444726930537
313,trained,unfrozen,6999,DemonAttack-v5,validation,accuracy,0
314,trained,unfrozen,6999,DemonAttack-v5,validation,precision,0
315,trained,unfrozen,6999,DemonAttack-v5,validation,recall,0
316,trained,unfrozen,6999,DemonAttack-v5,validation,f1score,0
317,trained,unfrozen,6999,DemonAttack-v5,validation,specificity,0
318,trained,unfrozen,6999,DemonAttack-v5,validation,auc,0
319,trained,unfrozen,6999,DemonAttack-v5,validation,iou,0
320,trained,unfrozen,6999,Qbert-v5,train,loss,0.21803035952409722
321,trained,unfrozen,6999,Qbert-v5,train,accuracy,0
322,trained,unfrozen,6999,Qbert-v5,train,precision,0
323,trained,unfrozen,6999,Qbert-v5,train,recall,0
324,trained,unfrozen,6999,Qbert-v5,train,f1score,0
325,trained,unfrozen,6999,Qbert-v5,train,specificity,0
